SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ACCURACY, EQ, 22-Mar-2022,242.5,239.1,252,239.1,242.3,246.35,245.71,34519,84.82,896,20383,59.05
ACE, EQ, 22-Mar-2022,214.1,216.3,216.3,213,214.9,214.7,214.82,140509,301.84,2805,55751,39.68
ACRYSIL, EQ, 22-Mar-2022,784.25,784,799.8,771.15,787,787.55,787.08,75755,596.26,6955,25576,33.76
ADANIENT, EQ, 22-Mar-2022,1802.95,1802.95,1837,1790,1832,1831.55,1815.39,964066,17501.54,28508,153298,15.9
ADANIGREEN, EQ, 22-Mar-2022,1876.05,1860,1905,1855,1875,1877.45,1879.02,337757,6346.52,22703,126041,37.32
ADANIPORTS, EQ, 22-Mar-2022,735.15,735,743.9,723.05,739,739.15,733.94,5010054,36770.58,83770,1215863,24.27
ADANIPOWER, EQ, 22-Mar-2022,124.55,124.5,124.75,122.3,123.65,123.75,123.36,11802958,14559.78,45126,2673752,22.65
ADANITRANS, EQ, 22-Mar-2022,2289.05,2324,2384.75,2275,2331.25,2338.05,2327.96,295672,6883.14,25284,173794,58.78
ADFFOODS, EQ, 22-Mar-2022,729.7,728.9,740,709,738,734,728.39,16092,117.21,573,12463,77.45
ADL, BE, 22-Mar-2022,45.65,45.65,47.9,43.85,47.9,47.9,46.41,3762,1.75,28, -, -
ADORWELD, EQ, 22-Mar-2022,628.75,629.1,653.55,626.05,640,641.35,640.72,9370,60.04,559,3984,42.52
ADROITINFO, BE, 22-Mar-2022,13.05,13.05,13.05,12.4,12.4,12.4,12.4,6864,0.85,49, -, -
ADSL, EQ, 22-Mar-2022,121.15,121,124,118.5,122,121.85,120.73,94957,114.65,1573,52778,55.58
ADVANIHOTR, EQ, 22-Mar-2022,91.45,92.55,92.9,90.25,91.5,91,91.9,90101,82.8,1733,43821,48.64
ADVENZYMES, EQ, 22-Mar-2022,304.55,302,310.9,302,305.85,305.95,306.41,294233,901.57,8870,109137,37.09
AEGISCHEM, EQ, 22-Mar-2022,204.85,204.8,215,203.2,205,205,208.65,1695114,3536.93,34389,658787,38.86
AFFLE, EQ, 22-Mar-2022,1231.3,1230,1230,1204,1224.95,1224.55,1215.35,217977,2649.19,18569,78708,36.11
AGARIND, EQ, 22-Mar-2022,575.05,580,585,561.2,575.5,578.15,571.97,75928,434.29,12592,20404,26.87
AGRITECH, EQ, 22-Mar-2022,101.95,107,107,107,107,107,107,6476,6.93,86,6476,100
AGROPHOS, EQ, 22-Mar-2022,23.75,23.95,23.95,23.2,23.9,23.9,23.64,52895,12.5,387,30497,57.66
AGSTRA, EQ, 22-Mar-2022,102.35,102.45,103.8,101.45,102,101.9,102.15,680604,695.22,3138,496511,72.95
AHLADA, EQ, 22-Mar-2022,113.5,114,116.6,110.05,113,113.05,113.16,38606,43.69,496,29419,76.2
AHLEAST, EQ, 22-Mar-2022,199.25,197,200,196.65,199.95,199.9,198.29,926,1.84,41,587,63.39
AHLUCONT, EQ, 22-Mar-2022,404.25,409.75,411.5,393.75,402,400.35,402.48,20764,83.57,1061,10822,52.12
AIAENG, EQ, 22-Mar-2022,1744.6,1728.7,1753.8,1709.45,1731,1715.95,1717.57,43805,752.38,3506,33647,76.81
AILIMITED, SM, 22-Mar-2022,20.15,20.15,20.15,20.15,20.15,20.15,20.15,6000,1.21,2,6000,100
AIRAN, EQ, 22-Mar-2022,19.8,19.8,19.95,19.6,19.6,19.65,19.73,85771,16.92,491,66624,77.68
AIROLAM, EQ, 22-Mar-2022,71.2,71,71.95,68.5,70,69.65,70.37,2242,1.58,119,1010,45.05
AIRTELPP, E1, 22-Mar-2022,345.55,348.9,356.45,340.25,352.1,353,351.91,169824,597.64,4801,117042,68.92
AJANTPHARM, EQ, 22-Mar-2022,1928.15,1938.3,1951.65,1925,1928,1937.4,1938.15,34542,669.47,5459,20644,59.76
AJMERA, EQ, 22-Mar-2022,339.75,331.6,339,327,331.1,330.65,329.88,38163,125.89,1614,23693,62.08
AJOONI, EQ, 22-Mar-2022,59.45,58.25,61.7,58.25,60.4,60.55,60.04,76716,46.06,432,57635,75.13
AJRINFRA, BE, 22-Mar-2022,2.1,2,2.1,2,2.1,2.05,2.03,1026824,20.86,1020, -, -
AKASH, BE, 22-Mar-2022,85.2,80.95,80.95,80.95,80.95,80.95,80.95,4904,3.97,116, -, -
AKG, EQ, 22-Mar-2022,37.85,36.5,39.95,36.5,39.5,39.35,38.11,15560,5.93,139,13447,86.42
AKSHARCHEM, EQ, 22-Mar-2022,381.9,382,385.4,377.6,380.05,380.15,381.02,3846,14.65,315,2790,72.54
AKSHOPTFBR, EQ, 22-Mar-2022,11.05,11.25,11.25,10.9,10.95,10.95,10.97,250497,27.49,478,177442,70.84
AKZOINDIA, EQ, 22-Mar-2022,1960.4,1935.1,1964.95,1924.95,1945,1947,1946.87,4662,90.76,1377,2549,54.68
ALANKIT, EQ, 22-Mar-2022,14.2,14.2,14.2,13.8,13.9,13.95,13.95,471222,65.76,1269,329859,70
ALBERTDAVD, EQ, 22-Mar-2022,555.2,554.6,555.1,548.1,551.45,553.35,551.96,6202,34.23,369,4657,75.09
ALEMBICLTD, EQ, 22-Mar-2022,82.05,83,83,80.85,81.3,81.2,81.39,190119,154.73,2142,99539,52.36
ALICON, EQ, 22-Mar-2022,741,745,746.15,731,733,733.25,735.15,6093,44.79,553,4397,72.16
ALKALI, BE, 22-Mar-2022,82.45,81.2,82,81.2,81.75,81.8,81.84,4273,3.5,71, -, -
ALKEM, EQ, 22-Mar-2022,3496.85,3496.85,3564.95,3487.2,3553.2,3550.55,3543.95,150611,5337.58,11582,105155,69.82
ALKYLAMINE, EQ, 22-Mar-2022,2879.85,2895.05,2935,2862.7,2899.2,2898.75,2902.86,43233,1254.99,7282,19496,45.1
ALLCARGO, EQ, 22-Mar-2022,323.8,327,327,319,324.85,324.75,322.69,196458,633.95,8848,116216,59.16
ALLSEC, EQ, 22-Mar-2022,547.85,550.95,550.95,530.85,536.8,536.65,538.02,9805,52.75,1116,5222,53.26
ALMONDZ, EQ, 22-Mar-2022,103.05,103.05,104.05,100,100.15,100.6,101.98,6824,6.96,365,3046,44.64
ALOKINDS, EQ, 22-Mar-2022,24.8,24.75,26.15,24.55,25.65,25.6,25.53,18476357,4716.82,20655,5962638,32.27
ALPA, EQ, 22-Mar-2022,73.2,73,75.5,72.7,74.3,74.25,74.71,51844,38.73,745,36688,70.77
ALPHAGEO, EQ, 22-Mar-2022,335.95,336.2,354.7,335,343.55,340.15,346.07,75419,261,4452,22905,30.37
ALPSINDUS, EQ, 22-Mar-2022,2.4,2.5,2.5,2.5,2.5,2.5,2.5,8529,0.21,13,8529,100
AMARAJABAT, EQ, 22-Mar-2022,579.95,575,580.3,570.1,578,578.65,575.34,466104,2681.69,14604,155915,33.45
AMBANIORG, SM, 22-Mar-2022,110,110.1,110.1,110,110,110,110.05,4000,4.4,2,4000,100
AMBER, EQ, 22-Mar-2022,3691.7,3709.8,3709.8,3613.25,3628.9,3625.35,3637.34,23893,869.07,5973,9203,38.52
AMBICAAGAR, EQ, 22-Mar-2022,28.9,29.35,29.4,27.75,28.55,28.55,28.57,49871,14.25,414,29645,59.44
AMBIKCO, EQ, 22-Mar-2022,2524,2536,2545.4,2490,2533,2532.95,2518.4,13691,344.79,2563,6020,43.97
AMBUJACEM, EQ, 22-Mar-2022,300.35,300.45,302.9,296.05,301,300.9,300.04,3537814,10614.95,43400,1445389,40.86
AMDIND, EQ, 22-Mar-2022,49.05,48,49.9,47.5,49.9,48.1,48.09,23313,11.21,311,14150,60.7
AMIORG, EQ, 22-Mar-2022,898.8,908,909.15,893,897.75,896.6,899.96,70027,630.21,4788,26657,38.07
AMJLAND, EQ, 22-Mar-2022,32.25,32.4,33,31.8,31.9,32.15,32.4,24396,7.9,355,17744,72.73
AMJUMBO, SM, 22-Mar-2022,6.65,6.35,6.35,6.35,6.35,6.35,6.35,8000,0.51,1,8000,100
AMRUTANJAN, EQ, 22-Mar-2022,838.55,843.5,845,831,842,840.6,837.98,13185,110.49,1807,6943,52.66
ANANDRATHI, EQ, 22-Mar-2022,576.2,580.7,589.25,578,586.75,586.7,584.57,74431,435.1,3144,48929,65.74
ANANTRAJ, EQ, 22-Mar-2022,65.25,66.25,66.35,64.8,66.1,65.95,65.57,280270,183.77,1815,175977,62.79
ANDHRACEMT, EQ, 22-Mar-2022,14.2,14.1,14.25,13.8,14.1,14.05,13.99,247185,34.57,830,173391,70.15
ANDHRAPAP, EQ, 22-Mar-2022,290.8,296.65,300.4,283,295,295.05,294.1,117254,344.84,3120,68551,58.46
ANDHRSUGAR, EQ, 22-Mar-2022,154.3,155.8,157.7,152.5,155.15,154.4,154.62,591795,915.02,6525,139769,23.62
ANDREWYU, EQ, 22-Mar-2022,21.15,21.4,21.4,20.9,21,21.05,21.08,115644,24.38,601,89231,77.16
ANGELONE, EQ, 22-Mar-2022,1644.6,1639.95,1695,1575,1614.75,1613.6,1636.94,1067419,17473.03,55967,265346,24.86
ANIKINDS, EQ, 22-Mar-2022,32.9,33,33,31.7,32.05,32,32.18,60731,19.54,340,39438,64.94
ANKITMETAL, BE, 22-Mar-2022,11,11.3,11.35,10.45,10.45,10.45,10.68,140748,15.04,694, -, -
ANMOL, EQ, 22-Mar-2022,207.6,213,213,204.25,205.9,206.35,206.78,22795,47.13,1487,9355,41.04
ANSALAPI, EQ, 22-Mar-2022,13.9,13.9,14.35,13.55,14,13.85,13.89,109287,15.18,245,81688,74.75
ANSALHSG, BE, 22-Mar-2022,7.6,7.75,7.75,7.35,7.4,7.45,7.45,61942,4.61,156, -, -
ANTGRAPHIC, BE, 22-Mar-2022,1.75,1.7,1.7,1.7,1.7,1.7,1.7,205149,3.49,510, -, -
ANUP, EQ, 22-Mar-2022,855.25,845,873.45,830.75,841.9,841.7,845.59,13358,112.95,1939,7988,59.8
ANURAS, EQ, 22-Mar-2022,880.65,887.65,887.65,860,865.2,864.45,867.8,47359,410.98,2903,27162,57.35
APARINDS, EQ, 22-Mar-2022,660.35,670,672.55,657.05,666.95,664.85,664.85,20187,134.21,2259,7055,34.95
APCL, EQ, 22-Mar-2022,267.65,267.4,270.95,261.05,266.75,263.7,265.33,11107,29.47,597,5743,51.71
APCOTEXIND, EQ, 22-Mar-2022,369.95,371.8,375,360.55,360.95,364.1,367.4,25152,92.41,1424,14038,55.81
APEX, EQ, 22-Mar-2022,295.6,297.95,297.95,289.05,292.6,292.7,292.5,69183,202.36,3578,24136,34.89
APLAPOLLO, EQ, 22-Mar-2022,963.85,962,962,930.35,935.9,938.05,939.36,351815,3304.82,18397,172207,48.95
APLLTD, EQ, 22-Mar-2022,753.85,753,753.05,725.8,735.95,735.7,735.18,488229,3589.36,15584,116865,23.94
APOLLO, BE, 22-Mar-2022,122.2,124.7,125,121.5,123,123.65,122.74,15052,18.47,251, -, -
APOLLOHOSP, EQ, 22-Mar-2022,4767.4,4798,4828,4471.85,4690,4677.6,4622.1,1255679,58038.71,88046,450719,35.89
APOLLOPIPE, EQ, 22-Mar-2022,488.4,490,515,490,506,508,505.85,117285,593.29,7748,56944,48.55
APOLLOTYRE, EQ, 22-Mar-2022,188.55,188.1,190.5,183.05,189.9,190.05,187.19,4183713,7831.68,29224,1178834,28.18
APOLSINHOT, EQ, 22-Mar-2022,768.3,790.35,795.55,768.95,782.9,780.85,779.5,4568,35.61,88,322,7.05
APTECHT, EQ, 22-Mar-2022,335.45,335.1,366.05,335.1,352.5,353.6,356.9,1640114,5853.63,60554,242674,14.8
APTUS, EQ, 22-Mar-2022,369.45,367.1,377.65,358.45,361,360.6,365.37,307829,1124.73,12835,183553,59.63
ARCHIDPLY, EQ, 22-Mar-2022,38.65,39.3,40.55,39,40.5,40.45,40.29,38954,15.69,367,26752,68.68
ARCHIES, EQ, 22-Mar-2022,19.85,19.8,20.45,19.3,19.5,19.45,19.71,56919,11.22,533,35671,62.67
ARENTERP, BE, 22-Mar-2022,37.2,38.75,38.75,35.55,36,36,36.13,2226,0.8,35, -, -
ARIES, EQ, 22-Mar-2022,148.2,151.9,156,150,152.45,152.35,153.42,168352,258.29,5023,75480,44.83
ARIHANTCAP, EQ, 22-Mar-2022,412.65,412,429,400,407,408.15,412.55,115694,477.29,4849,49660,42.92
ARIHANTSUP, EQ, 22-Mar-2022,129.2,129.2,131,124.3,131,130.5,128.02,159506,204.2,968,81716,51.23
ARMANFIN, EQ, 22-Mar-2022,963.15,955,964.65,950.1,955,954.25,955.37,3298,31.51,633,2276,69.01
AROGRANITE, EQ, 22-Mar-2022,60.7,61.25,61.75,59.45,60.3,60.25,60.27,26586,16.02,390,18916,71.15
ARROWGREEN, EQ, 22-Mar-2022,105.6,105.6,105.95,101.25,102.1,102.25,102.51,11446,11.73,471,5471,47.8
ARSHIYA, EQ, 22-Mar-2022,32.05,32.55,32.9,30.4,30.6,30.95,31.19,393502,122.72,965,323597,82.24
ARSSINFRA, BE, 22-Mar-2022,27.95,27.05,28.75,27.05,28.3,28.3,27.9,4122,1.15,48, -, -
ARTEMISMED, EQ, 22-Mar-2022,39.1,39.1,39.55,37.9,38.75,38.85,38.62,54534,21.06,628,36199,66.38
ARTNIRMAN, BE, 22-Mar-2022,87.75,83.4,83.4,83.4,83.4,83.4,83.4,1421,1.19,45, -, -
ARVEE, EQ, 22-Mar-2022,134.55,139,139,130,132.5,132.45,132.88,3511,4.67,223,2111,60.13
ARVIND, EQ, 22-Mar-2022,116.7,117.5,118,115.35,117.9,117.8,117.05,940704,1101.07,8805,375473,39.91
ARVINDFASN, EQ, 22-Mar-2022,268.95,274.9,293.4,273,284.85,283.7,284.15,686926,1951.93,20322,182870,26.62
ARVSMART, EQ, 22-Mar-2022,202.75,203.2,203.5,199,200.7,200.3,201.06,13274,26.69,275,9356,70.48
ASAHIINDIA, EQ, 22-Mar-2022,429.65,431.95,438.75,424.5,435.8,435.1,430.31,157192,676.41,6077,67031,42.64
ASAHISONG, EQ, 22-Mar-2022,263.5,265.9,267.3,260.3,263,262.35,262.09,10448,27.38,518,7931,75.91
ASAL, BE, 22-Mar-2022,395.7,375.95,415.45,375.95,415.45,415.4,391.95,117277,459.67,2239, -, -
ASALCBR, EQ, 22-Mar-2022,486,486,497.15,485,495.5,492.65,492.42,63371,312.05,4362,29504,46.56
ASHAPURMIN, EQ, 22-Mar-2022,102.5,102.9,106.75,102.25,104.35,104.1,104.45,382523,399.54,3077,260235,68.03
ASHIANA, EQ, 22-Mar-2022,140.15,140.9,140.9,136.9,136.9,137.7,138.71,47212,65.49,996,34601,73.29
ASHIMASYN, EQ, 22-Mar-2022,16.35,16.45,16.75,15.15,15.6,15.8,16.03,169506,27.16,551,120717,71.22
ASHOKA, EQ, 22-Mar-2022,91.65,91.7,92,89.75,90.45,90.65,90.47,656354,593.79,3986,376913,57.43
ASHOKLEY, EQ, 22-Mar-2022,110.8,110.1,113.5,107.45,112.15,112.2,110.03,22959620,25263.02,94297,4174561,18.18
ASIANENE, EQ, 22-Mar-2022,118.95,120.5,120.9,117.6,118,118.3,119.25,105240,125.5,2297,65003,61.77
ASIANHOTNR, EQ, 22-Mar-2022,77.8,78.7,79.4,76,76.4,77.1,77.94,42295,32.96,499,11711,27.69
ASIANPAINT, EQ, 22-Mar-2022,3045.75,3024,3062.7,2975,3049.45,3051.15,3017.34,1515772,45736,118777,608556,40.15
ASIANTILES, EQ, 22-Mar-2022,111.75,113.25,113.25,107.75,108.3,108.5,109.36,373055,407.98,6716,183551,49.2
ASLIND, SM, 22-Mar-2022,36,34.55,37.8,34.5,37.8,37.8,34.63,240000,83.12,8,236000,98.33
ASPINWALL, EQ, 22-Mar-2022,186.05,186.1,187.05,180.6,186.8,185,184.93,5991,11.08,250,4710,78.62
ASTEC, EQ, 22-Mar-2022,1637.25,1637.5,1690.95,1633.3,1680,1670.05,1662.72,21683,360.53,2042,15721,72.5
ASTERDM, EQ, 22-Mar-2022,173.6,174.5,179.4,170.55,174.4,173.6,174.19,248583,433.02,4894,77168,31.04
ASTRAL, EQ, 22-Mar-2022,2019.45,2004.9,2032,1979,2027.45,2019.65,2000.2,232524,4650.94,26539,108172,46.52
ASTRAMICRO, EQ, 22-Mar-2022,216.05,216.3,220,214.7,217.3,217.3,217.19,116235,252.45,2972,41441,35.65
ASTRAZEN, EQ, 22-Mar-2022,2623.95,2623.95,2634.85,2597.3,2609,2610.6,2614.49,6418,167.8,1519,3229,50.31
ASTRON, EQ, 22-Mar-2022,46.1,46.4,47,45.35,45.65,45.7,46.09,79744,36.75,980,30671,38.46
ATALREAL, SM, 22-Mar-2022,115,104,113.5,104,110,110,108.98,94400,102.88,43,11200,11.86
ATFL, EQ, 22-Mar-2022,835.65,824.05,830.6,808.6,829.45,823.1,819.5,5617,46.03,674,3363,59.87
ATGL, EQ, 22-Mar-2022,1814.15,1845.45,1904.85,1805,1885,1883.95,1875.31,334089,6265.22,19501,191314,57.26
ATLANTA, BE, 22-Mar-2022,22.6,23.5,23.5,21.55,22.3,21.85,21.95,64255,14.1,176, -, -
ATUL, EQ, 22-Mar-2022,9841.9,9840,10012,9772.35,9970,9972.25,9907.16,30096,2981.66,6541,9084,30.18
ATULAUTO, EQ, 22-Mar-2022,171.9,172,172.3,169.5,170.5,170.3,170.32,73252,124.76,1365,54164,73.94
AUBANK, EQ, 22-Mar-2022,1177.75,1177.75,1199.7,1164.05,1198.3,1196.05,1182.8,881785,10429.72,37191,212317,24.08
AURDIS, SM, 22-Mar-2022,72.5,72.5,72.5,72.5,72.5,72.5,72.5,2000,1.45,1,2000,100
AURIONPRO, EQ, 22-Mar-2022,291.85,298,299.65,286.8,292,290.25,290.95,46931,136.55,1355,24841,52.93
AUROPHARMA, EQ, 22-Mar-2022,679.4,680,694.25,674.9,685.7,687.5,684.37,3270480,22382.19,60165,1032756,31.58
AURUM, EQ, 22-Mar-2022,116.7,116.7,117.75,112.5,114.9,113.75,114.1,124090,141.59,2462,68521,55.22
AUSOMENT, EQ, 22-Mar-2022,65.05,66.25,66.3,62.85,63.05,64.1,64.75,6243,4.04,407,3401,54.48
AUTOAXLES, EQ, 22-Mar-2022,1666.9,1689,1689.9,1610.35,1620,1621.2,1641.42,17980,295.13,4146,7994,44.46
AUTOIND, BE, 22-Mar-2022,51.35,52.35,53.9,51.25,53.9,53.9,52.79,23967,12.65,199, -, -
AVADHSUGAR, EQ, 22-Mar-2022,770.5,772.3,783,750,759.9,759.05,765.56,171214,1310.74,9289,50424,29.45
AVANTIFEED, EQ, 22-Mar-2022,441.7,442.65,444.8,432.05,439,437.6,435.98,341280,1487.9,11413,172337,50.5
AVTNPL, EQ, 22-Mar-2022,120.4,121.25,123.2,115.5,118.5,118.5,118.69,407955,484.18,8015,167209,40.99
AWHCL, EQ, 22-Mar-2022,282.35,285.8,287,280,280,281.2,282.81,120827,341.71,3447,74029,61.27
AWL, EQ, 22-Mar-2022,391.25,394.45,397.7,387,392.55,393.1,391.52,9561082,37433.92,118867,2701560,28.26
AXISBANK, EQ, 22-Mar-2022,725.9,729,736,706.35,735,731.4,718.46,11117081,79871.28,200498,4668675,42
AXISBNKETF, EQ, 22-Mar-2022,359.46,360.38,363.84,353.32,363.72,363.72,359.89,754,2.71,59,484,64.19
AXISBPSETF, EQ, 22-Mar-2022,10.52,10.52,10.53,10.51,10.51,10.51,10.52,26691,2.81,4289,16247,60.87
AXISCADES, BE, 22-Mar-2022,97.85,98,102.7,96,102.7,102.25,100.46,49294,49.52,373, -, -
AXISCETF, EQ, 22-Mar-2022,68.1,69.87,69.87,67,68.5,68.48,67.17,6227,4.18,60,1693,27.19
AXISGOLD, EQ, 22-Mar-2022,44.02,44.15,44.67,43.93,44.07,44.04,44.28,117548,52.05,7353,78247,66.57
AXISHCETF, EQ, 22-Mar-2022,83.82,88.5,88.5,82.27,82.85,82.96,83.06,1545,1.28,160,864,55.92
AXISNIFTY, EQ, 22-Mar-2022,180.52,178.85,182.44,178.8,182,181.97,180.16,2946,5.31,154,1938,65.78
AXISTECETF, EQ, 22-Mar-2022,359.49,360.8,365.73,355.55,365.5,364.75,360.65,707,2.55,71,254,35.93
AYMSYNTEX, EQ, 22-Mar-2022,108.05,108.2,111.65,106.65,110,109.45,108.46,33245,36.06,693,19852,59.71
BAFNAPH, EQ, 22-Mar-2022,130.15,128.6,132.35,128.25,129.95,129.2,129.21,1509,1.95,100,1106,73.29
BAGFILMS, BE, 22-Mar-2022,5.95,6,6.15,5.75,6.1,6.05,5.97,203708,12.16,248, -, -
BAJAJ-AUTO, EQ, 22-Mar-2022,3589.05,3580,3662,3564.5,3650,3656.45,3611.89,213667,7717.42,19816,46126,21.59
BAJAJCON, EQ, 22-Mar-2022,159.75,160,161.2,157.95,160.5,160.2,159.19,578502,920.92,10436,345742,59.77
BAJAJELEC, EQ, 22-Mar-2022,1048.45,1055,1057.2,1029,1037.9,1038.05,1037.16,57667,598.1,5240,17862,30.97
BAJAJFINSV, EQ, 22-Mar-2022,16180.8,16250,16590,15951,16570.5,16494.6,16262.71,265279,43141.57,44503,45978,17.33
BAJAJHCARE, EQ, 22-Mar-2022,369.9,372.9,372.9,365.8,367.85,367.1,367.35,11908,43.74,826,7925,66.55
BAJAJHIND, EQ, 22-Mar-2022,15.8,15.8,15.85,15.4,15.4,15.45,15.56,5223182,812.83,6701,2492217,47.71
BAJAJHLDNG, EQ, 22-Mar-2022,5008.4,5033.7,5036.65,4986.05,5004,5012.6,5003.21,37330,1867.7,3137,31746,85.04
BAJFINANCE, EQ, 22-Mar-2022,6870.4,6870,7010,6767,6998,6985.8,6893.67,1273796,87811.32,105600,325253,25.53
BALAJITELE, EQ, 22-Mar-2022,73.7,73.8,75.7,73.75,74.65,74.3,74.58,255273,190.38,3224,91900,36
